Date,Adj_appl,Adj_goog,Adj_msft,Adj_amzn,Adj_fb
1/29/2018,166.635422,1175.579956,93.077446,1417.680054,185.979996
1/26/2018,170.157425,1175.839966,93.216187,1402.050049,190
1/25/2018,169.760574,1170.369995,91.501709,1377.949951,187.479996
1/24/2018,172.846054,1164.23999,90.996284,1357.51001,186.550003
1/23/2018,175.643814,1169.969971,91.075562,1362.540039,189.350006
1/22/2018,175.604141,1155.810059,90.78817,1327.310059,185.369995
1/19/2018,177.052628,1137.51001,89.192604,1294.579956,181.289993
1/18/2018,177.846313,1129.790039,89.29171,1293.319946,179.800003
1/17/2018,177.687576,1131.97998,89.331352,1295,177.600006
1/16/2018,174.800537,1121.76001,87.557411,1304.859985,178.389999
1/12/2018,175.69342,1122.26001,88.796204,1305.199951,179.369995
1/11/2018,173.897705,1105.52002,87.289833,1276.680054,187.770004
1/10/2018,172.915497,1102.609985,87.032166,1254.329956,187.839996
1/9/2018,172.9552,1106.26001,87.428581,1252.699951,187.869995
1/8/2018,172.975037,1106.939941,87.488037,1246.869995,188.279999
1/5/2018,173.619904,1102.22998,87.398849,1229.140015,186.850006
1/4/2018,171.665436,1086.400024,86.328537,1209.589966,184.330002
1/3/2018,170.871735,1082.47998,85.575356,1204.199951,184.669998
1/2/2018,170.901505,1065,85.17894,1189.01001,181.419998
12/29/2017,167.895416,1046.400024,84.772621,1169.469971,176.460007
12/28/2017,169.73082,1048.140015,84.951004,1186.099976,177.919998
12/27/2017,169.254608,1049.369995,84.941093,1182.26001,177.619995
12/26/2017,169.224838,1056.73999,84.633873,1176.76001,175.990005
12/22/2017,173.629822,1060.119995,84.742889,1168.359985,177.199997
12/21/2017,173.629822,1063.630005,84.732979,1174.76001,177.449997
12/20/2017,172.975037,1064.949951,84.752792,1177.619995,177.889999
12/19/2017,173.163528,1070.680054,85.06002,1187.380005,179.509995
12/18/2017,175.028717,1077.140015,85.60508,1190.579956,180.820007
12/15/2017,172.598022,1064.189941,86.070869,1179.140015,180.179993
12/14/2017,170.861832,1049.150024,83.930252,1174.26001,178.389999
12/13/2017,170.911438,1040.609985,84.584328,1164.130005,178.300003
12/12/2017,170.345932,1040.47998,84.812263,1165.079956,176.960007
12/11/2017,171.308289,1041.099976,84.465401,1168.920044,179.039993
12/8/2017,168.034302,1037.050049,83.405006,1162,179
12/7/2017,167.984711,1030.930054,81.749977,1159.790039,180.139999
12/6/2017,167.677139,1018.380005,82.037376,1152.349976,176.059998
12/5/2017,168.30217,1005.150024,80.858047,1141.569946,172.830002
12/4/2017,168.460922,998.679993,80.352631,1133.949951,171.470001
12/1/2017,169.70105,1010.169983,83.504105,1162.349976,175.100006
11/30/2017,170.494751,1021.409973,83.414909,1176.75,177.179993
11/29/2017,168.143433,1021.659973,82.592354,1161.27002,175.130005
11/28/2017,171.705139,1047.410034,84.118538,1193.599976,182.419998
11/27/2017,172.717072,1054.209961,83.117607,1195.829956,183.029999
11/24/2017,173.590149,1040.609985,82.513077,1186,182.779999
11/22/2017,173.580231,1035.959961,82.364426,1156.160034,180.869995
11/21/2017,171.774567,1034.48999,82.968948,1139.48999,181.860001
11/20/2017,168.639496,1018.380005,81.789627,1126.310059,178.740005
11/17/2017,168.808151,1019.090027,81.660789,1129.880005,179
11/16/2017,169.750671,1032.5,82.453613,1137.290039,179.589996
11/15/2017,167.746582,1020.909973,82.235588,1126.689941,177.949997
11/14/2017,169.988754,1026,82.879761,1136.839966,178.070007
11/13/2017,172.598022,1025.75,82.761429,1129.170044,178.770004
11/10/2017,173.292511,1028.069946,82.702271,1125.349976,178.460007
11/9/2017,173.86795,1031.26001,82.919197,1129.130005,179.300003
11/8/2017,174.223831,1039.849976,83.382652,1132.880005,179.559998
11/7/2017,172.810165,1033.329956,83.096687,1123.170044,180.25
11/6/2017,172.256577,1025.900024,83.293907,1120.660034,180.169998
11/3/2017,170.526596,1032.47998,82.968498,1111.599976,178.919998
11/2/2017,166.186829,1025.579956,82.879761,1094.219971,178.919998
11/1/2017,164.980774,1025.5,82.021866,1103.680054,182.660004
10/31/2017,167.106186,1016.640015,82.021866,1105.280029,180.059998
10/30/2017,164.812729,1017.109985,82.721985,1110.849976,179.869995
10/27/2017,161.184708,1019.27002,82.643105,1100.949951,177.880005
10/26/2017,155.609222,972.559998,77.663406,972.429993,170.630005
10/25/2017,154.620682,973.330017,77.535217,972.909973,170.600006
10/24/2017,155.302765,970.539978,77.762024,975.900024,171.800003
10/23/2017,154.383408,968.450012,77.732437,966.299988,171.270004
10/20/2017,154.462494,988.200012,77.712708,982.909973,174.979996
10/19/2017,154.195572,984.450012,76.825249,986.609985,174.559998
10/18/2017,157.932343,992.809998,76.529427,997,176.029999
10/17/2017,158.634216,992.179993,76.509697,1009.130005,176.110001
10/16/2017,158.050964,992,76.568863,1006.340027,174.520004
10/13/2017,155.194031,989.679993,76.411095,1002.940002,173.740005
10/12/2017,154.215363,987.830017,76.046249,1000.929993,172.550003
10/11/2017,154.759079,989.25,75.355988,995,172.740005
10/10/2017,154.116486,972.599976,75.227798,987.200012,171.589996
10/9/2017,154.057175,977,75.227798,990.98999,172.5
10/6/2017,153.523361,978.890015,74.941841,989.580017,172.229996
10/5/2017,153.612335,969.960022,74.912254,980.849976,171.240005
10/4/2017,151.724197,951.679993,73.650078,965.450012,168.419998
10/3/2017,152.712738,957.789978,73.226067,957.099976,169.960007
10/2/2017,152.050415,953.27002,73.57119,959.190002,169.470001
9/29/2017,152.356857,959.109985,73.452858,961.349976,170.869995
9/28/2017,151.526474,949.5,72.841492,956.400024,168.729996
9/27/2017,152.465607,944.48999,72.82177,950.869995,167.679993
9/26/2017,151.388062,924.859985,72.239983,938.599976,164.210007
9/25/2017,148.827698,920.969971,72.239983,939.789978,162.869995
9/22/2017,150.15239,928.530029,73.373978,955.099976,170.539993
9/21/2017,151.635208,932.450012,73.176758,964.650024,171.110001
9/20/2017,154.284561,931.580017,73.896599,973.210022,172.169998
9/19/2017,156.914124,921.809998,74.389633,969.859985,172.520004
9/18/2017,156.854813,915,74.113541,974.190002,170.009995
9/15/2017,158.050964,920.289978,74.261444,986.789978,171.639999
9/14/2017,156.469269,925.109985,73.728958,992.210022,170.960007
9/13/2017,157.823593,935.090027,74.162834,999.599976,173.050003
9/12/2017,159.01976,932.070007,73.640221,982.580017,172.960007
9/11/2017,159.652451,929.080017,73.719109,977.960022,173.509995
9/8/2017,156.815277,926.5,72.949966,965.900024,170.949997
9/7/2017,159.415192,935.950012,73.304947,979.469971,173.210007
9/6/2017,160.057755,927.809998,72.378044,967.799988,172.089996
9/5/2017,160.225815,928.450012,72.585106,965.27002,170.720001
9/1/2017,162.173279,937.340027,72.910522,978.25,172.020004
8/31/2017,162.12384,939.330017,73.728958,980.599976,171.970001
8/30/2017,161.481277,929.570007,72.979546,967.590027,169.919998
8/29/2017,161.046326,921.289978,72.032913,954.059998,168.050003
8/28/2017,159.622787,913.809998,71.815979,946.02002,167.240005
8/25/2017,158.031189,915.890015,71.806107,945.26001,166.320007
8/24/2017,157.447952,921.280029,71.677925,952.450012,167.740005
8/23/2017,158.149826,927,71.707504,958,168.710007
8/22/2017,157.952118,924.690002,72.14138,966.900024,169.639999
8/21/2017,155.41153,906.659973,71.145439,953.289978,167.779999
8/18/2017,155.698212,910.669983,71.480705,958.469971,167.410004
8/17/2017,156.054092,910.97998,71.391968,960.570007,166.910004
8/16/2017,159.108719,926.960022,72.624557,978.179993,170
8/15/2017,159.751297,922.219971,72.200539,982.73999,171
8/14/2017,158.021317,922.669983,72.180817,983.299988,170.75
8/11/2017,155.678436,914.390015,71.111694,967.98999,168.080002
8/10/2017,153.543152,907.23999,70.042572,956.919983,167.399994
8/9/2017,158.594666,922.900024,71.082275,982.01001,171.179993
8/8/2017,157.629684,926.789978,71.396149,989.840027,171.229996
8/7/2017,156.37912,929.359985,71.013618,992.27002,171.979996
8/4/2017,153.99614,927.960022,71.288246,987.580017,169.619995
8/3/2017,153.188705,923.650024,70.768402,986.919983,168.589996
8/2/2017,154.734665,930.390015,70.876297,995.890015,169.300003
8/1/2017,147.753204,930.830017,71.19017,996.190002,169.860001
7/31/2017,146.4534,930.5,71.307861,987.780029,169.25
7/28/2017,147.211624,941.530029,71.641357,1020.039978,172.449997
7/27/2017,148.255402,934.090027,71.759064,1046,170.440002
7/26/2017,151.111023,947.799988,72.632011,1052.800049,165.610001
7/25/2017,150.402039,950.700012,72.769333,1039.869995,165.279999
7/24/2017,149.761978,980.340027,72.190636,1038.949951,166
7/21/2017,147.969849,972.919983,72.376991,1025.670044,164.429993
7/20/2017,148.038757,968.150024,72.798759,1028.699951,164.529999
7/19/2017,148.708359,970.890015,72.445648,1026.869995,164.139999
7/18/2017,147.782761,965.400024,71.896385,1024.449951,162.860001
7/17/2017,147.270706,953.419983,71.945412,1010.039978,159.729996
7/14/2017,146.758636,955.98999,71.38633,1001.809998,159.970001
7/13/2017,145.508102,947.159973,70.39566,1000.630005,159.259995
7/12/2017,143.509186,943.830017,69.787552,1006.51001,158.899994
7/11/2017,143.302399,930.090027,68.649765,994.130005,155.270004
7/10/2017,142.839584,928.799988,68.639961,996.469971,153.5
7/7/2017,141.973053,918.590027,68.129906,978.76001,151.440002
7/6/2017,140.545258,906.690002,67.25695,965.140015,148.820007
7/5/2017,141.88443,911.710022,67.757187,971.400024,150.339996
7/3/2017,141.303467,898.700012,66.864609,953.659973,148.429993
6/30/2017,141.815506,908.72998,67.610054,968,150.979996
6/29/2017,141.480713,917.789978,67.178482,975.929993,151.039993
6/28/2017,143.597794,940.48999,68.463402,990.330017,153.240005
6/27/2017,141.529938,927.330017,67.884689,976.780029,150.580002
6/26/2017,143.587967,952.27002,69.17942,993.97998,153.589996
6/23/2017,144.040924,965.590027,69.846397,1003.73999,155.070007
6/22/2017,143.400879,957.090027,68.914589,1001.299988,153.399994
6/21/2017,143.637177,959.450012,68.924393,1002.22998,153.910004
6/20/2017,142.790359,950.630005,68.571289,992.590027,152.25
6/19/2017,144.099991,957.369995,69.512909,995.169983,152.869995
6/16/2017,140.0923,939.780029,68.659569,987.710022,150.639999
6/15/2017,142.08136,942.309998,68.561485,964.169983,149.800003
6/14/2017,142.938065,950.76001,68.924393,976.469971,150.25
6/13/2017,144.346161,953.400024,69.297127,980.789978,150.679993
6/12/2017,143.194092,942.900024,68.443779,964.909973,148.440002
6/9/2017,146.69957,949.830017,68.973434,978.309998,149.600006
6/8/2017,152.617584,983.409973,70.57222,1010.27002,154.710007
6/7/2017,152.991776,980.940002,71.003807,1010.070007,153.119995
6/6/2017,152.085846,976.570007,71.131302,1003,152.809998
6/5/2017,151.573807,983.679993,70.895905,1011.340027,153.630005
6/2/2017,153.070541,975.599976,70.385864,1006.72998,153.610001
6/1/2017,150.835281,966.950012,68.757652,995.950012,151.529999
5/31/2017,150.421722,964.859985,68.502632,994.619995,151.460007
5/30/2017,151.317795,975.880005,69.061729,996.700012,152.380005
5/26/2017,151.258728,971.469971,68.620331,995.780029,152.130005
5/25/2017,151.514725,969.539978,68.28685,993.380005,151.960007
5/24/2017,150.992844,954.960022,67.45311,980.349976,150.039993
5/23/2017,151.445801,948.820007,67.364853,971.539978,148.070007
5/22/2017,151.632904,941.859985,67.139236,970.669983,148.240005
5/19/2017,150.717133,934.01001,66.393806,959.840027,148.059998
5/18/2017,150.205078,930.23999,66.413414,958.48999,147.660004
5/17/2017,147.95015,919.619995,66.18782,944.76001,144.850006
5/16/2017,153.090256,943,68.080872,966.070007,149.779999
5/15/2017,153.316727,937.080017,66.737099,957.969971,150.190002
5/12/2017,153.710602,932.219971,66.688332,961.349976,150.330002
5/11/2017,151.593491,930.599976,66.76635,947.619995,150.039993
5/10/2017,150.293716,928.780029,67.595329,948.950012,150.289993
5/9/2017,151.009598,932.169983,67.332008,952.820007,150.479996
5/8/2017,150.048538,934.299988,67.234482,949.039978,151.059998
